,year,month,region,district,site_code,product_code,stock_initial,stock_received,stock_distributed,stock_adjustment,stock_end,average_monthly_consumption,stock_stockout_days,stock_ordered,implant_women_old,implant_women_new,injection2_women_old,injection2_women_new,injection3_women_old,injection3_women_new,pill_women_old,pill_women_new,iud_women_old,iud_women_new,iud_number_dispensed,implant_number_dispensed,injection2_number_dispensed,injection3_number_dispensed,pill_number_dispensed,iud_number_received,implant_number_received,injection2_number_received,injection3_number_received,pill_number_received,iud_stock_end,implant_stock_end,injection2_stock_end,injection3_stock_end,pill_stock_end
0,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,75,0,21,-54,0,18,0,100.0,478.0,91.0,103.0,17.0,1278.0,296.0,195.0,34.0,,,,75.0,44.0,1082.0,2542.0,,319.0,33.0,1244.0,2846.0,,422.0,,1501.0,3466.0
1,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,3,0,3,0,0,2,0,10.0,478.0,91.0,103.0,17.0,1278.0,296.0,195.0,34.0,,,,75.0,44.0,1082.0,2542.0,,319.0,33.0,1244.0,2846.0,,422.0,,1501.0,3466.0
2,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,0,75,22,0,53,9,0,0.0,478.0,91.0,103.0,17.0,1278.0,296.0,195.0,34.0,,,,75.0,44.0,1082.0,2542.0,,319.0,33.0,1244.0,2846.0,,422.0,,1501.0,3466.0
3,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27137,2,0,0,0,2,0,0,0.0,478.0,91.0,103.0,17.0,1278.0,296.0,195.0,34.0,,,,75.0,44.0,1082.0,2542.0,,319.0,33.0,1244.0,2846.0,,422.0,,1501.0,3466.0
4,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27138,45,0,2,0,43,1,0,0.0,478.0,91.0,103.0,17.0,1278.0,296.0,195.0,34.0,,,,75.0,44.0,1082.0,2542.0,,319.0,33.0,1244.0,2846.0,,422.0,,1501.0,3466.0
5,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27133,50,50,19,0,81,6,0,0.0,478.0,91.0,103.0,17.0,1278.0,296.0,195.0,34.0,,,,75.0,44.0,1082.0,2542.0,,319.0,33.0,1244.0,2846.0,,422.0,,1501.0,3466.0
6,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4023,AS27000,40,0,0,0,40,10,0,0.0,478.0,91.0,103.0,17.0,1278.0,296.0,195.0,34.0,,,,75.0,44.0,1082.0,2542.0,,319.0,33.0,1244.0,2846.0,,422.0,,1501.0,3466.0
7,2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4023,AS27133,150,0,29,0,121,51,0,0.0,478.0,91.0,103.0,17.0,1278.0,296.0,195.0,34.0,,,,75.0,44.0,1082.0,2542.0,,319.0,33.0,1244.0,2846.0,,422.0,,1501.0,3466.0
8,2019,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27134,0,0,0,0,0,18,0,100.0,340.0,81.0,126.0,10.0,1237.0,253.0,187.0,19.0,9.0,1.0,1.0,66.0,38.0,813.0,557.0,20.0,255.0,17.0,1174.0,2608.0,,394.0,,1535.0,3327.0
9,2019,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,2,0,10.0,340.0,81.0,126.0,10.0,1237.0,253.0,187.0,19.0,9.0,1.0,1.0,66.0,38.0,813.0,557.0,20.0,255.0,17.0,1174.0,2608.0,,394.0,,1535.0,3327.0
