,year,month,region,district,site_code,product_code,stock_initial,stock_received,stock_distributed,stock_adjustment,stock_end,average_monthly_consumption,stock_stockout_days,stock_ordered,date,error
0,2016,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,12,90,21,0,81,21,0,0.0,2016-01-01,Fine
1,2016,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,0,0,42,81,39,32,0,24.0,2016-03-01,Fine
2,2016,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,39,72,15,0,96,26,0,0.0,2016-04-01,Fine
3,2016,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,96,0,39,-38,19,32,0,0.0,2016-05-01,Fine
5,2016,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,19,0,6,0,13,18,0,0.0,2016-07-01,Fine
6,2016,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,13,0,11,0,2,9,0,24.0,2016-08-01,Fine
7,2016,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,2,71,5,0,68,7,0,0.0,2016-09-01,Fine
8,2016,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,68,0,11,0,57,9,0,,2016-10-01,Fine
9,2016,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,57,0,14,0,43,10,0,0.0,2016-11-01,Fine
10,2016,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,43,0,10,0,33,12,0,0.0,2016-12-01,Fine
11,2017,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,33,0,3,0,30,9,0,0.0,2017-01-01,Fine
12,2017,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,30,0,12,0,18,8,0,8.0,2017-02-01,Fine
13,2017,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,18,0,8,0,10,8,0,14.0,2017-03-01,Fine
14,2017,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,10,20,5,0,25,8,0,0.0,2017-04-01,Fine
15,2017,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,25,43,15,0,53,9,0,0.0,2017-05-01,Fine
16,2017,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27000,53,0,13,8,48,11,0,0.0,2017-06-01,Fine
